                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5559,                 2.1591,                 1.1929,                0.77907,                0.69007,                 0.7307,                0.41534,                 1.3412,                 1.4478,                 1.0506,             0.00066466,             0.00066466,             0.00066466
                      2,                 1.6368,                 1.3624,                 1.2148,                 0.8714,                0.72932,                0.79141,                0.46676,                  1.302,                 1.1967,                 1.0958,              0.0012874,              0.0012874,              0.0012874
                      3,                  1.638,                 1.2476,                 1.2305,                0.80458,                0.66069,                0.73346,                0.45006,                 1.3545,                 1.3613,                 1.0866,              0.0018661,              0.0018661,              0.0018661
                      4,                 1.6184,                 1.1799,                  1.227,                0.84169,                0.72834,                0.77173,                0.46293,                 1.2885,                 1.2453,                 1.0918,               0.001802,               0.001802,               0.001802
                      5,                 1.5579,                 1.0886,                    1.2,                0.85095,                0.72211,                0.81707,                0.53962,                 1.1973,                0.94884,                 1.0491,               0.001736,               0.001736,               0.001736
                      6,                 1.5326,                 1.0475,                 1.1715,                0.87749,                 0.7456,                0.82601,                0.55132,                 1.1985,                0.96157,                 1.0204,                0.00167,                0.00167,                0.00167
                      7,                 1.5139,                0.99068,                 1.1611,                0.90369,                0.78956,                0.86135,                0.57891,                 1.1394,                0.84057,                0.98736,               0.001604,               0.001604,               0.001604
                      8,                 1.4862,                0.96525,                 1.1462,                0.89897,                0.78865,                0.87031,                0.59153,                 1.0736,                 0.7985,                 0.9734,               0.001538,               0.001538,               0.001538
                      9,                 1.4617,                0.93737,                 1.1375,                0.88007,                0.83293,                0.86937,                0.60841,                 1.0806,                0.78064,                0.96108,               0.001472,               0.001472,               0.001472
                     10,                 1.4668,                0.92735,                 1.1406,                0.92039,                0.81213,                0.87917,                 0.6009,                 1.0874,                0.77138,                0.96298,               0.001406,               0.001406,               0.001406
                     11,                 1.4418,                0.89611,                 1.1244,                 0.9139,                0.81006,                0.86394,                0.60837,                 1.0483,                0.83539,                 0.9772,                0.00134,                0.00134,                0.00134
                     12,                 1.4236,                0.87418,                 1.1163,                0.91203,                 0.8115,                0.86348,                0.60557,                 1.0198,                0.86764,                0.97305,               0.001274,               0.001274,               0.001274
                     13,                 1.4222,                0.86545,                 1.1181,                0.92832,                0.83757,                0.88782,                0.62027,                 1.0157,                0.74995,                0.95911,               0.001208,               0.001208,               0.001208
                     14,                 1.3939,                0.83359,                 1.1021,                0.94581,                0.81977,                0.90316,                0.63035,                 1.0101,                0.70591,                0.93605,               0.001142,               0.001142,               0.001142
                     15,                 1.3929,                0.83648,                 1.1048,                0.93573,                 0.8317,                0.90547,                0.63329,                 1.0062,                0.68913,                0.94245,               0.001076,               0.001076,               0.001076
                     16,                 1.3827,                0.81107,                 1.1015,                 0.9418,                 0.8317,                 0.8998,                0.63262,                  1.022,                 0.6783,                0.95356,                0.00101,                0.00101,                0.00101
                     17,                 1.3838,                0.80079,                 1.0912,                0.93565,                0.85364,                0.89564,                  0.637,                 1.0248,                0.68108,                0.94834,               0.000944,               0.000944,               0.000944
                     18,                 1.3526,                0.78697,                 1.0863,                0.91139,                0.85127,                 0.8872,                0.62641,                0.98442,                0.68268,                0.93901,               0.000878,               0.000878,               0.000878
                     19,                 1.3582,                0.77351,                 1.0916,                0.93933,                0.85127,                0.90452,                0.64775,                0.98654,                0.64823,                 0.9447,               0.000812,               0.000812,               0.000812
                     20,                 1.3493,                0.77119,                 1.0801,                0.91499,                 0.8636,                0.90138,                0.64575,                0.97117,                0.62132,                 0.9345,               0.000746,               0.000746,               0.000746
                     21,                 1.3747,                0.76359,                 1.0843,                0.91654,                0.85966,                0.90598,                0.64699,                0.93116,                0.65774,                0.93671,                0.00068,                0.00068,                0.00068
                     22,                 1.3678,                0.73771,                 1.0892,                0.93714,                0.84602,                0.91147,                0.66841,                0.93851,                0.66069,                 0.9386,               0.000614,               0.000614,               0.000614
                     23,                 1.3508,                0.73006,                 1.0792,                0.94249,                0.86585,                0.91959,                 0.6703,                0.94011,                 0.6126,                0.92693,               0.000548,               0.000548,               0.000548
                     24,                 1.3454,                0.71536,                 1.0706,                0.93104,                0.87084,                0.91244,                0.65611,                 0.9506,                0.61327,                0.92168,               0.000482,               0.000482,               0.000482
                     25,                 1.3342,                0.70287,                 1.0641,                0.92621,                0.85971,                0.90959,                0.64017,                0.96319,                0.64419,                0.93482,               0.000416,               0.000416,               0.000416
                     26,                 1.3139,                0.68714,                  1.061,                 0.9322,                0.85714,                0.90836,                0.65492,                0.94017,                0.61779,                0.93537,                0.00035,                0.00035,                0.00035
                     27,                 1.3021,                0.67107,                 1.0576,                0.92064,                0.87867,                0.90988,                0.65737,                 0.9166,                0.60394,                0.92701,               0.000284,               0.000284,               0.000284
                     28,                  1.292,                0.65939,                 1.0523,                0.93498,                0.87235,                0.91308,                0.66876,                0.92435,                0.58252,                0.92481,               0.000218,               0.000218,               0.000218
                     29,                 1.2866,                0.64831,                 1.0488,                0.93902,                 0.8739,                0.91888,                0.66582,                0.95188,                0.58577,                0.92667,               0.000152,               0.000152,               0.000152
                     30,                 1.2704,                0.63907,                  1.042,                0.94331,                0.87671,                0.91993,                0.67321,                 0.9037,                0.59739,                0.92101,                8.6e-05,                8.6e-05,                8.6e-05
